id,lat,lon,name,street,postcode,brand
593349441,51.525621,-0.099581,Unknown,,,
594876703,51.511417,-0.1366962,Bibi's,Golden Square,W1F 9JG,
595301296,51.509704,-0.133266,Caffee Concerto,Haymarket,SW1Y 4SE,
595303835,51.5094715,-0.1323526,Caffè Nero,Haymarket,SW1Y 4SP,Caffè Nero
595709909,51.3763847,-0.0926573,AMT Coffee,George Street,CR0 1LE,AMT Coffee
595712460,51.3761131,-0.0926978,West Cornwall Pasties,George Street,CR0 1LE,
597395311,51.58351,-0.0184983,Brad's Coffee Bar,,,
601847904,51.4921878,-0.2762353,403 Cafe,,,
603113483,51.513513,-0.127203,La Bottega,,,
603128624,51.5114893,-0.1276746,Caffè Nero,Cranbourn Street,WC2H 7AD,Caffè Nero
609954947,51.5125955,-0.104019,Starbucks,New Bridge Street,EC4V 6BJ,Starbucks
613890604,51.392925,0.1120757,Costa,Cray Avenue,BR5 3RP,Costa
617344978,51.552099,-0.193129,David's Deli,,,
621185183,51.5210599,-0.108788,Cafe Mano,,,
621185189,51.521416,-0.1088769,Tuffo's Place,,,
621771171,51.5317157,-0.1046939,Duncan Terrace Cafe,City Road,EC1V 1NE,
624043344,51.511855,-0.1313096,Candy Cafe,Macclesfield Street,W1D 6AU,
630425966,51.5057172,-0.2269607,Costa,Uxbridge Road,,Costa
632550011,51.410876,-0.3017132,Starbucks,Clarence Street,KT1 1QY,Starbucks
632550013,51.4107537,-0.3066407,Local Hero,Thames Street,KT1 1PE,
635973933,51.505967,-0.087685,My Tea Shop,,,
638752885,51.4106297,-0.2985736,Cafe Jax,,,
638925838,51.532188,-0.105164,Candid Cafe,Torrens Street,EC1V 1NQ,
643312445,51.5178546,-0.1134709,Wendells,Chancery Lane,,
644625847,51.5252191,-0.1327573,Bloomsbury Café,Gordon Street,WC1H 0AY,
647004373,51.5322247,-0.1264865,Starbucks,,,Starbucks
647052117,51.5319049,-0.1263153,Benugo,,,
647333252,51.5145564,-0.1649754,Markus Coffee Co Ltd,Connaught Street,,
